,Secteur
Ennasr,2
Route de Meknes,2
Route de Ouarzazate,2
Av des Far,2
Route d'Ourika,2
Akioud,2
Hay Mabrouka,2
Diour 10000,1
Imarat,1
Polo,1
Ittihad Arabi,1
Kawki,1
Hay M'barka,1
Hay Moulay Rachid 5,1
Hay Moulay Rachid 2,1
Ichara,1
Salama,1
Hay Essalama,1
Chbanat,1
Draoua,1
M'nar,1
Sidi Brahim,1
Laayoune,1
Ben Mohammed,1
Ben Dibane,1
Hay Tarik,1
Bir El Ghazi,1
Fadli,1
Fadlallah,1
Skala,1
Les chenes,1
Hay El Boughaz,1
Bab El Khemis,1
Iziki,1
Hay Moulay Rachid 3,1
Hay Zaytoun,1
Saâida 1 et 2,1
Jemaa El Fna,1
Mèdina,1
Lakhmis,1
Slaoui,1
Bab Aylan,1
Zone industrielle,1
Habous,1
Annaim,1
Firdaouss,1
Riyad Extension,1
Hay Al Wafaa,1
Hanaa 1,1
Lyrac,1
Industriel Nord,1
Ain kadous,1
Quods,1
Route Tayret,1
El Kasbah,1
Hay Riyad,1
Riyad,1
La belle vue,1
Al Kasaba,1
Hay Anas,1
Massar,1
Omar,1
Sidi Ghanem,1
El Mrabet,1
Hay fath,1
Wifaq,1
Vieille montagne,1
Al Warda,1
Charf,1
Mechouar,1
Hay Al Hassani,1
Sable d'or,1
Sidi Abdelkarim,1
Biyada,1
Hay Mesk Lil,1
El Massira,1
Nouveau Mellah,1
Al Kalaa,1
Sidi Bouzid,1
El Mers 1,1
Lalla Chafia,1
Sidi Talha,1
El Ghoul,1
Riad Essalam,1
Aarid,1
Haddad,1
PAM,1
Agadir Oufella,1
Al Bassatine,1
Torrota,1
Val d'Anfa,1
Taddart,1
Inbiaat,1
Benkirane,1
Tamouda,1
CGI,1
Ouled M'Barek,1
Zone Industrielle,1
Sidi AbdelKrim,1
Ihchach,1
Berrima,1
Wad El Bacha,1
Al Filline,1
Achennad,1
Kasbah,1
